# Simulation 6 (Up to date)
# 716 data points written for 10 variables.
#
# Time (s),Altitude (m),Mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Drag coefficient (​),Normal force coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,64.528053,7.972923e-4,9.682337e-6,NaN,20.646563,0,0.867734,NaN
0.01,0,64.522259,7.972412e-4,9.682103e-6,NaN,20.645741,0.305161,0.86587,NaN
0.02,0,64.516465,7.971902e-4,9.681868e-6,NaN,20.644919,0.610323,0.86403,NaN
0.031,9.155084e-5,64.510092,7.97134e-4,9.68161e-6,NaN,20.644014,0.946,0.862102,NaN
0.041,7.554515e-4,64.474742,7.968224e-4,9.680178e-6,NaN,20.638994,1.582066,0.859971,NaN
0.051,0.002894,64.439393,7.965104e-4,9.678746e-6,NaN,20.633969,2.218131,0.855859,NaN
0.061,0.007496,64.404043,7.961981e-4,9.677313e-6,NaN,20.628938,2.854197,0.847461,NaN
0.071,0.01555,64.368693,7.958854e-4,9.675881e-6,NaN,20.623901,3.490262,0.831825,NaN
# Event LIFTOFF occurred at t=0.081 seconds
0.081,0.028046,64.333343,7.955725e-4,9.674449e-6,NaN,20.618859,4.126328,0.808924,NaN
0.092,0.048107,64.294458,7.952278e-4,9.672874e-6,NaN,20.613306,4.826,0.778444,NaN
0.102,0.073278,64.20405,7.94425e-4,9.669211e-6,NaN,20.60037,5.913234,0.748372,NaN
0.112,0.106677,64.113642,7.9362e-4,9.665549e-6,NaN,20.587398,7.000468,0.718083,NaN
0.122,0.150007,64.023235,7.928129e-4,9.661886e-6,NaN,20.574388,8.087702,0.689711,NaN
0.132,0.20498,63.932827,7.920036e-4,9.658223e-6,NaN,20.561342,9.174936,0.66423,NaN
0.139,0.251306,63.869541,7.914358e-4,9.655659e-6,NaN,20.552188,9.936,0.648197,NaN
0.149,0.329927,63.722397,7.901114e-4,9.649698e-6,NaN,20.530834,10.719774,0.627976,NaN
0.159,0.424363,63.575253,7.887812e-4,9.643737e-6,NaN,20.50938,11.503547,0.610639,NaN
0.168731,0.532643,63.432067,7.874811e-4,9.637936e-6,NaN,20.488409,12.26624,0.59594,NaN
0.177066,0.639125,63.309428,7.863631e-4,9.632968e-6,NaN,20.470371,12.919485,0.592511,NaN
0.184436,0.74447,63.200981,7.853711e-4,9.628574e-6,NaN,20.454362,13.497135,0.592392,NaN
0.192,0.864063,63.089678,7.843495e-4,9.624065e-6,NaN,20.437874,14.09,0.592311,NaN
0.198023,0.967832,62.99548,7.834823e-4,9.620249e-6,NaN,20.423875,13.153223,0.592328,NaN
# Event LAUNCHROD occurred at t=0.204 seconds
0.203629,1.070872,62.907814,7.82673e-4,9.616697e-6,23.994212,20.410809,12.281396,0.592377,1.288813
0.209,1.175046,62.823812,7.818954e-4,9.613294e-6,24.048554,20.398254,11.446,0.592433,1.204631
0.217057,1.340407,62.730912,7.810332e-4,9.60953e-6,24.1206,20.384331,9.957294,0.592524,1.096734
0.226889,1.555021,62.617548,7.799778e-4,9.604938e-6,24.197356,20.367285,8.140641,0.592634,0.986205
0.231,1.648326,62.570144,7.795354e-4,9.603017e-6,24.226958,20.360139,7.381,0.592677,0.944742
0.237167,1.791668,62.519036,7.790577e-4,9.600947e-6,24.270494,20.352422,6.934812,0.592739,0.8849
0.248,2.05247,62.429257,7.782167e-4,9.597309e-6,24.347614,20.338835,6.151,0.592845,0.782121
0.257559,2.29125,62.361114,7.775769e-4,9.594549e-6,24.412737,20.328497,6.007183,0.592937,0.698436
0.267422,2.545724,62.290805,7.769153e-4,9.5917e-6,24.482776,20.317806,5.858795,0.593035,0.611461
0.277814,2.822535,62.216717,7.762166e-4,9.588699e-6,24.561335,20.306515,5.702428,0.59314,0.517474
0.289151,3.134297,62.135899,7.754526e-4,9.585424e-6,24.652222,20.294167,5.531862,0.593257,0.413224
0.292,3.214208,62.115591,7.752604e-4,9.584602e-6,24.675835,20.291059,5.489,0.593286,0.386896
0.296273,3.335237,62.088347,7.750022e-4,9.583498e-6,24.711793,20.286887,5.457882,0.593331,0.347388
0.302683,3.51937,62.047482,7.746147e-4,9.581842e-6,24.764546,20.280621,5.411206,0.593398,0.290676
0.312298,3.801335,61.986183,7.740324e-4,9.579359e-6,24.841051,20.271207,5.341191,0.593501,0.21099
0.32672,4.237039,61.894236,7.731568e-4,9.575634e-6,24.958756,20.257052,5.236169,0.593658,0.094003
0.348353,4.91855,61.756315,7.718389e-4,9.570046e-6,24.98476,20.235739,5.078635,0.5939,0.069335
0.37,5.632925,61.618305,7.705145e-4,9.564455e-6,24.82252,20.214318,4.921,0.594144,0.231109
0.384222,6.119294,61.536701,7.697287e-4,9.561149e-6,24.739208,20.201606,4.856934,0.594352,0.319361
0.39427,6.470892,61.479045,7.691723e-4,9.558813e-6,24.693686,20.192605,4.811669,0.594509,0.369185
0.402765,6.773205,61.430301,7.687012e-4,9.556838e-6,24.667293,20.184981,4.773401,0.594643,0.39865
0.410447,7.05054,61.386221,7.682745e-4,9.555052e-6,24.656033,20.178077,4.738795,0.594764,0.411427
0.417718,7.316422,61.344505,7.678701e-4,9.553362e-6,24.651588,20.171534,4.706043,0.594879,0.41658
